scenario,approach,requests_ok,requests_error,requests_per_second_p50,requests_per_second_p90,requests_per_second_max,latency_millis_min,latency_millis_p50,latency_millis_p90,latency_millis_p99,latency_millis_max,cpu_use_percent_avg,cpu_use_percent_max,ram_use_percent_avg,ram_use_percent_max,heap_use_percent_avg,heap_use_percent_max,garbage_collection_count,garbage_collection_time_millis,platform_threads_avg,platform_threads_max,sockets_avg,sockets_max,network_kib_per_req_avg,network_kib_per_req_max,network_packets_per_req_avg,network_packets_per_req_max
1k-vus-and-rps-get-time-no-delay,platform-tomcat,180999,0,1000,1001,1015,0.30,0.39,0.45,0.97,32.2,16.9,42.6,25.6,26.3,33.0,59.4,2432,19146,343,345,994,1006,1.03,1.46,10.1,17.9
1k-vus-and-rps-get-time-no-delay,loom-tomcat,181001,0,1000,1001,1022,0.32,0.41,0.48,0.75,32.0,22.3,36.1,29.6,30.0,31.7,59.6,2917,29464,22,23,994,1007,1.02,1.46,10.1,17.9
1k-vus-and-rps-get-time-no-delay,loom-netty,181000,0,1000,1001,1043,0.38,0.47,0.55,0.83,40.4,19.3,38.2,29.9,30.2,31.7,59.8,2888,28600,18,19,1000,1009,0.71,0.72,6.00,6.83
1k-vus-and-rps-get-time-no-delay,webflux-netty,180999,0,1000,1001,1019,0.36,0.43,0.49,0.70,37.9,15.8,37.1,29.5,30.5,30.7,59.6,2994,23602,21,22,1000,1008,0.72,0.73,6.00,6.77
5k-vus-and-rps-get-time,platform-tomcat,905918,0,5001,5414,6249,100,101,137,275,667,88.6,100,40.4,41.6,39.9,68.0,3948,66929,1531,1540,4981,5006,1.14,1.50,12.1,17.3
5k-vus-and-rps-get-time,loom-tomcat,905340,0,5001,5278,5981,100,101,139,240,1209,88.2,100,41.3,43.0,56.4,88.7,6607,105677,22,23,4981,5007,1.13,1.53,12.1,17.0
5k-vus-and-rps-get-time,loom-netty,906435,0,5001,5325,6382,100,102,144,241,628,91.8,100,38.4,39.4,32.7,61.6,6787,140867,18,19,5006,5007,0.82,1.23,8.00,12.1
5k-vus-and-rps-get-time,webflux-netty,905085,0,5001,5059,6283,100,101,129,224,594,86.6,99.0,38.4,39.7,32.2,60.1,4866,110686,21,22,5006,5006,0.82,0.98,7.98,9.51
10k-vus-and-rps-get-movies,platform-tomcat,1093823,9246,5391,9841,12007,101,905,1483,1977,59995,99.3,100,58.0,67.3,55.9,81.1,7384,318804,5266,6849,9920,10014,5.62,22.8,15.6,68.1
10k-vus-and-rps-get-movies,loom-tomcat,725952,9552,4079,4907,7539,102,1952,2444,12014,59529,98.8,100,51.0,51.7,77.0,99.8,53966,3426623,22,23,10005,10007,4.34,7.01,10.8,33.1
10k-vus-and-rps-get-movies,loom-netty,940774,0,5328,6237,9193,109,1740,2922,4147,11547,99.9,100,50.9,51.8,62.3,86.7,18452,1861563,18,20,10008,10043,4.23,14.2,7.36,56.2
10k-vus-and-rps-get-movies,webflux-netty,763614,0,4088,6213,9547,221,2273,2866,3464,58695,99.9,100,50.9,52.6,65.2,90.4,12891,832998,21,23,10006,10007,4.80,11.4,17.2,49.6
10k-vus-stepped-spike-get-movies,platform-tomcat,463260,2656,2428,3898,4419,100,101,102,221,60001,53.5,100,44.2,49.1,34.2,68.5,3484,37606,463,774,6554,10006,4.40,8.62,12.5,77
10k-vus-stepped-spike-get-movies,loom-tomcat,463440,2652,2453,3900,4814,100,101,103,214,60001,54.8,100,44.4,48.6,37.9,70.2,4530,50135,22,24,6560,10006,4.42,14.2,12.9,138
10k-vus-stepped-spike-get-movies,loom-netty,485916,0,2427,4683,5472,101,101,142,488,863,61.3,100,43.7,47.9,31.8,62.6,4683,95189,18,20,6769,10006,4.12,7.20,8.89,106
10k-vus-stepped-spike-get-movies,webflux-netty,474519,0,2421,4408,5733,101,103,345,768,2028,67.0,100,43.6,47.5,31.5,62.0,4293,85085,21,23,6770,10006,4.63,8.78,17.1,139
10k-vus-smooth-spike-get-post-movies,platform-tomcat,412843,1808,2324,3881,5333,100,101,122,464,59998,57.2,100,45.4,50.5,33.4,67.4,3639,40997,469,921,5777,10006,8.03,66.7,13.7,109
10k-vus-smooth-spike-get-post-movies,loom-tomcat,412233,1808,2397,3871,4828,100,101,134,455,60001,58.4,100,45.9,52.2,37.6,81.5,4568,57920,22,24,5773,10006,8.03,71.6,13.7,118
10k-vus-smooth-spike-get-post-movies,loom-netty,422315,0,2308,4232,6667,101,102,181,749,1783,61.9,100,44.8,49.0,30.9,62.1,4589,86601,18,20,5940,10006,8.04,71.8,10.2,115
10k-vus-smooth-spike-get-post-movies,webflux-netty,389662,0,2264,3651,5596,101,111,912,1785,3058,68.8,100,45.1,49.9,31.9,62.3,4367,87810,22,24,5945,9986,8.52,80.8,18.8,217
10k-vus-smooth-spike-get-post-movies-call-depth-1,platform-tomcat,304650,5678,1918,2581,3011,11.4,171,737,20208,60068,78.2,100,49.4,57.5,45.5,85.1,5093,129852,2002,4196,5739,9896,9.17,35.8,25.7,131
10k-vus-smooth-spike-get-post-movies-call-depth-1,loom-tomcat,272216,6120,1604,2255,3710,101,250,1800,20236,60005,80.2,100,49.4,54.7,54.9,95.5,13205,435388,22,24,5723,9860,10.2,140,28.6,438
10k-vus-smooth-spike-get-post-movies-call-depth-1,loom-netty,320636,0,2056,2609,3351,101,611,1951,2809,4703,81.9,100,46.3,50.1,31.8,65.6,5887,174332,18,20,5941,10006,8.87,87.3,18.5,209
10k-vus-smooth-spike-get-post-movies-call-depth-1,webflux-netty,274212,0,1719,2164,2675,101,1204,2918,4034,7517,83.0,100,46.1,52.1,33.6,73.6,5057,137611,22,24,5946,10006,9.42,80.9,27.1,275
