scenario,approach,requests_ok,requests_error,requests_per_second_p50,requests_per_second_p90,requests_per_second_max,latency_millis_min,latency_millis_p50,latency_millis_p90,latency_millis_p99,latency_millis_max,cpu_use_percent_avg,cpu_use_percent_max,ram_use_percent_avg,ram_use_percent_max,heap_use_percent_avg,heap_use_percent_max,garbage_collection_count,garbage_collection_time_millis,platform_threads_avg,platform_threads_max,sockets_avg,sockets_max,network_kib_per_req_avg,network_kib_per_req_max,network_packets_per_req_avg,network_packets_per_req_max
1k-vus-and-rps-get-time-no-delay,platform-tomcat,180999,0,1000,1001,1026,0.30,0.38,0.45,0.65,30.9,18.5,47.1,24.3,25.1,32.9,59.9,2439,18069,297,298,994,1006,1.03,1.46,10.1,17.8
1k-vus-and-rps-get-time-no-delay,loom-tomcat,180998,0,1000,1001,1044,0.32,0.41,0.48,0.66,35.0,19.3,37.7,28.3,28.6,31.8,60.0,2924,27133,22,23,994,1007,1.02,1.46,10.1,17.9
1k-vus-and-rps-get-time-no-delay,loom-netty,181000,0,1000,1001,1027,0.37,0.46,0.53,0.73,26.0,17.2,36.2,28.4,28.9,30.1,59.9,3349,28839,18,19,1000,1008,0.71,0.72,6.00,6.95
1k-vus-and-rps-get-time-no-delay,webflux-netty,180999,0,1000,1001,1033,0.35,0.43,0.50,0.70,27.6,18.2,37.4,28.6,29.1,30.9,60.0,2556,18552,21,22,1000,1008,0.72,0.73,6.00,6.94
5k-vus-and-rps-get-time,platform-tomcat,906153,0,5001,5445,6009,100,101,130,264,702,87.3,100,38.9,40.2,43.7,74.4,3975,68416,1425,1608,4981,5006,1.14,1.55,12.1,16.6
5k-vus-and-rps-get-time,loom-tomcat,905769,0,5001,5395,6093,100,101,155,253,963,88.0,100,40.1,41.7,59.2,90.2,6603,109130,22,23,4983,5006,1.14,1.87,12.1,23.1
5k-vus-and-rps-get-time,loom-netty,906194,0,5001,5453,7588,100,101,144,272,718,90.8,100,36.7,37.7,32.9,63.3,6755,130809,18,19,5006,5007,0.83,1.63,8.05,16.1
5k-vus-and-rps-get-time,webflux-netty,905336,0,5001,5138,7004,100,101,138,258,682,85.8,99.2,36.9,38.3,31.9,61.1,4460,90400,22,23,5006,5007,0.83,1.26,8.01,12.4
10k-vus-and-rps-get-movies,platform-tomcat,1121315,8103,5568,9784,11939,101,859,1447,2086,59738,99.2,100,56.6,65.4,59.4,79.5,8214,350616,4850,6317,10220,10497,5.73,22.8,15.9,86.2
10k-vus-and-rps-get-movies,loom-tomcat,745938,10747,4148,5150,6685,459,1932,2376,3472,61508,98.9,100,48.9,49.9,73.4,98.8,43168,2813060,22,23,10007,10008,4.33,6.47,10.8,29.9
