scenario,approach,requests_ok,requests_error,requests_per_second_p50,requests_per_second_p90,requests_per_second_max,latency_millis_min,latency_millis_p50,latency_millis_p90,latency_millis_p99,latency_millis_max,cpu_use_percent_avg,cpu_use_percent_max,ram_use_percent_avg,ram_use_percent_max,heap_use_percent_avg,heap_use_percent_max,garbage_collection_count,garbage_collection_time_millis,platform_threads_avg,platform_threads_max,sockets_avg,sockets_max,network_kib_per_req_avg,network_kib_per_req_max,network_packets_per_req_avg,network_packets_per_req_max
5k-vus-and-1k-rps-get-movies-call-depth-0,loom-netty,184903,0,1000,1000,1124,100,100,100,100,175,10.4,83.5,30.3,32.2,33.2,62.9,8,128,18,20,4936,5005,4.09,4.42,8.16,14.0
5k-vus-and-1k-rps-get-movies-call-depth-0,webflux-netty,184900,0,1000,1000,1014,100,100,100,101,139,10.9,67.3,30.4,32.2,33.3,62.7,8,144,22,24,4935,5005,4.58,4.92,16.2,22.2
5k-vus-and-1k-rps-get-movies-call-depth-1,loom-netty,184910,0,1000,1001,1113,100,101,101,101,128,17.4,85.8,31.2,32.7,34.3,62.9,18,260,18,20,4935,5006,4.99,5.32,16.2,23.9
5k-vus-and-1k-rps-get-movies-call-depth-1,webflux-netty,184900,0,1000,1001,1029,100,101,101,101,135,17.3,88.9,31.4,32.9,34.2,63.1,18,287,22,24,4936,5005,5.46,5.80,24.1,30.0
5k-vus-and-1k-rps-get-movies-call-depth-2,loom-netty,184901,0,1000,1001,1051,101,101,101,104,151,22.0,95.0,33.1,34.3,44.6,75.4,29,548,18,20,4936,5005,5.87,6.23,24.1,30.0
5k-vus-and-1k-rps-get-movies-call-depth-2,webflux-netty,184899,0,1000,1001,1193,100,101,101,104,292,22.1,92.4,32.9,34.3,43.2,72.9,28,477,22,24,4936,5006,6.35,6.69,32.1,38.1
5k-vus-and-1k-rps-get-movies-call-depth-5,loom-netty,184903,0,1000,1001,1087,101,101,102,129,658,40.9,98.5,35.3,36.4,55.5,85.6,60,1581,18,20,4933,5006,8.57,8.94,48.1,53.7
5k-vus-and-1k-rps-get-movies-call-depth-5,webflux-netty,184901,0,1000,1001,1143,101,101,102,136,303,38.4,96.5,35.9,37.2,69.5,94.8,69,2247,22,24,4935,5005,9.01,11.0,56.1,71.5
5k-vus-smooth-spike-get-post-movies-call-depth-0,loom-netty,216690,0,1190,2148,2449,100,100,101,102,361,16.8,78.8,30.1,33.2,27.3,59.2,14,369,18,20,3018,5006,7.48,22.9,9.16,157
5k-vus-smooth-spike-get-post-movies-call-depth-0,webflux-netty,216688,0,1188,2146,2397,100,100,101,103,397,18.4,80,30.6,33.6,27.2,60.1,15,451,22,24,3015,5005,7.98,9.67,17.2,96
5k-vus-smooth-spike-get-post-movies-call-depth-1,loom-netty,216522,0,1184,2136,2391,100,101,101,105,475,25.8,79.6,30.7,33.6,29.4,61.8,28,565,18,20,3005,5005,8.33,24.3,16.1,74.8
5k-vus-smooth-spike-get-post-movies-call-depth-1,webflux-netty,216631,0,1195,2156,2415,100,101,101,107,548,27.1,78.6,30.8,33.8,28.8,62.6,29,610,22,24,3014,5005,8.82,99.3,24.2,804
5k-vus-smooth-spike-get-post-movies-call-depth-2,loom-netty,216789,0,1196,2167,2411,101,101,102,110,574,32.9,72.6,31.1,33.8,30.0,60.4,40,768,18,20,3020,5005,9.25,84.8,22.8,265
5k-vus-smooth-spike-get-post-movies-call-depth-2,webflux-netty,216749,0,1231,2148,2410,100,101,102,112,622,34.0,90.4,30.9,33.9,30.6,60.0,40,741,22,24,3005,5005,9.65,21.4,30.7,76.3
5k-vus-smooth-spike-get-post-movies-call-depth-5,loom-netty,216233,0,1202,2150,2412,101,102,105,139,566,49.1,94.8,31.4,34.1,32.6,62.3,76,1481,18,20,3014,5005,11.7,32.4,44.7,212
5k-vus-smooth-spike-get-post-movies-call-depth-5,webflux-netty,215960,0,1190,2153,2768,101,102,109,214,844,49.7,92.2,31.3,34.3,31.1,64.2,76,1586,22,24,3007,5007,12.4,34.2,55.6,173
