scenario,approach,requests_ok,requests_error,requests_per_second_p50,requests_per_second_p90,requests_per_second_max,latency_millis_min,latency_millis_p50,latency_millis_p90,latency_millis_p99,latency_millis_max,cpu_use_percent_avg,cpu_use_percent_max,ram_use_percent_avg,ram_use_percent_max,heap_use_percent_avg,heap_use_percent_max,garbage_collection_count,garbage_collection_time_millis,platform_threads_avg,platform_threads_max,sockets_avg,sockets_max,network_kib_per_req_avg,network_kib_per_req_max,network_packets_per_req_avg,network_packets_per_req_max
5k-vus-and-1k-rps-get-movies-call-depth-0,loom-netty,184902,0,1000,1001,1148,101,101,101,101,130,22.5,50.9,29.8,31.2,33.3,62.9,4609,44202,17,19,4976,5007,4.09,4.42,8.12,14.0
5k-vus-and-1k-rps-get-movies-call-depth-0,webflux-netty,184899,0,1000,1001,1103,101,101,101,102,187,27.9,53.1,33.6,35.3,33.2,63.1,4173,37824,21,23,4977,5007,4.57,4.90,16.1,22.0
5k-vus-and-1k-rps-get-movies-call-depth-1,loom-netty,184898,0,1000,1001,1044,101,101,102,108,169,46.7,67.3,34.9,36.2,39.9,70.2,7026,102824,17,19,4977,5007,4.99,5.33,16.1,22.0
5k-vus-and-1k-rps-get-movies-call-depth-1,webflux-netty,184899,0,1000,1001,1183,101,102,102,116,288,49.5,70.6,34.6,36.1,38.1,67.5,6109,84651,21,23,4977,5007,5.46,5.80,24.1,30.0
5k-vus-and-1k-rps-get-movies-call-depth-2,loom-netty,184911,0,1000,1001,1123,102,103,103,136,360,73.6,89.2,36.8,37.9,40.4,79.6,9360,171747,17,19,4976,5006,5.89,6.29,24.1,30.3
5k-vus-and-1k-rps-get-movies-call-depth-2,webflux-netty,184898,0,1000,1001,1173,102,103,105,196,510,74.0,91.1,35.9,37.1,43.3,71.3,7488,125152,21,23,4977,5006,6.36,7.65,32.1,38.1
5k-vus-and-1k-rps-get-movies-call-depth-5,loom-netty,120488,0,632,928,2048,252,7529,8653,9608,11566,99.9,100,39.0,39.5,66.6,97.5,30678,2916250,18,20,4977,5007,9.63,29.4,54.3,166
5k-vus-and-1k-rps-get-movies-call-depth-5,webflux-netty,115772,0,632,822,2276,179,7814,9027,9979,11686,99.9,100,39.9,52.3,78.4,97.4,26186,2125625,21,23,4977,5007,9.86,34.9,61.8,215
5k-vus-smooth-spike-get-post-movies-call-depth-0,loom-netty,216707,0,1200,2161,2388,101,101,102,107,371,33.3,82.5,33.4,36.9,26.1,61.1,4736,42213,17,19,3020,5007,7.61,29.5,9.78,75.6
5k-vus-smooth-spike-get-post-movies-call-depth-0,webflux-netty,216534,0,1189,2139,2432,101,101,103,127,376,40.6,97.2,33.3,36.8,25.7,60.1,4715,44026,21,23,3022,5006,8.04,16.8,17.6,59.1
5k-vus-smooth-spike-get-post-movies-call-depth-1,loom-netty,214510,0,1189,2097,2583,101,104,142,457,1051,59.7,100,34.1,36.9,28.8,62.5,5650,68719,17,19,3022,5006,8.38,12.6,17.2,55.7
5k-vus-smooth-spike-get-post-movies-call-depth-1,webflux-netty,204224,0,1178,1882,2172,101,109,567,912,1706,63.5,100,34.1,37.2,28.2,62.6,5254,65008,21,23,3022,5006,8.95,24.2,25.6,135
5k-vus-smooth-spike-get-post-movies-call-depth-2,loom-netty,187984,0,1154,1601,2031,102,188,1090,1576,2550,73.2,100,34.5,37.5,31.4,63.6,6760,107596,17,19,3022,5006,9.35,24.4,25.6,164
5k-vus-smooth-spike-get-post-movies-call-depth-2,webflux-netty,170260,0,1076,1370,1784,102,450,1622,2173,3235,74.4,100,34.5,37.8,30.0,65.1,6030,94497,21,23,3022,5006,10.00,49.4,34.3,235
5k-vus-smooth-spike-get-post-movies-call-depth-5,loom-netty,110573,0,666,849,1417,104,1682,5243,6385,8576,86.3,100,36.6,41.8,42.6,97.6,9971,468143,17,19,3023,5006,12.4,31.7,51.4,151
5k-vus-smooth-spike-get-post-movies-call-depth-5,webflux-netty,104559,0,648,770,1045,104,2009,5433,7029,8968,86.2,100,36.5,41.8,45.8,90.1,7766,338339,21,23,3023,5006,12.7,32.0,58.8,174
