scenario,approach,requests_ok,requests_error,requests_per_second_p50,requests_per_second_p90,requests_per_second_max,latency_millis_min,latency_millis_p50,latency_millis_p90,latency_millis_p99,latency_millis_max,cpu_use_percent_avg,cpu_use_percent_max,ram_use_percent_avg,ram_use_percent_max,heap_use_percent_avg,heap_use_percent_max,garbage_collection_count,garbage_collection_time_millis,platform_threads_avg,platform_threads_max,sockets_avg,sockets_max,network_kib_per_req_avg,network_kib_per_req_max,network_packets_per_req_avg,network_packets_per_req_max
smoketest-get-time,platform-tomcat,1300,0,200,200,201,0.32,0.39,0.55,0.86,1.74,4.13,5.81,17.2,17.3,3.74,4.34,108,510,67,67,70,104,0.82,1.05,8.04,10
smoketest-get-time,loom-tomcat,1300,0,200,200,201,0.34,0.43,0.57,0.88,3.99,5.19,8.50,21.0,21.1,4.59,5.92,102,426,22,22,70,104,0.81,1.04,8.05,10
smoketest-get-time,loom-netty,1300,0,200,200,201,0.42,0.54,0.76,1.22,5.73,4.94,7.54,21.1,21.3,4.60,6.26,119,532,18,18,70,104,0.58,0.73,5.02,6.16
smoketest-get-time,webflux-netty,1300,0,200,200,201,0.38,0.50,0.69,1.06,5.73,4.80,7.61,21.3,21.4,3.30,4.11,102,456,22,22,70,105,0.58,0.74,5.03,6.19
smoketest-get-movies-h2,platform-tomcat,69,0,10,11.8,16,104,105,111,619,689,4.20,7.05,21.4,21.4,4.07,11.5,116,542,31,32,12,15,4.39,5.64,19.5,24
smoketest-get-movies-h2,loom-tomcat,69,0,10,12.1,17,104,106,141,646,726,5.00,8.48,21.7,21.7,3.94,11.5,116,539,22,23,10,14,4.35,5.94,19.4,30
smoketest-get-movies-h2,loom-netty,69,0,10,11.2,14,104,106,109,379,447,5.52,8.95,21.7,21.8,7.87,10.7,104,451,18,19,10,14,3.98,5.32,13.6,22
smoketest-get-movies-h2,webflux-netty,69,0,10,11.2,14,104,107,110,403,471,5.01,8.73,21.8,21.8,6.80,10.6,107,473,22,23,10,14,4.37,5.84,20.1,30.8
smoketest-get-movies-postgres,platform-tomcat,69,0,10,11.8,16,104,106,113,632,701,14.3,17.9,23.8,24.3,8.73,13.7,107,471,30,31,337,440,11.3,13.3,77.6,92.2
smoketest-get-movies-postgres,loom-tomcat,69,0,10,12.1,17,104,106,147,701,772,13.2,16.6,24.0,24.5,8.78,13.7,107,457,27,28,342,446,13.7,16.7,77.5,92.2
smoketest-get-movies-postgres,loom-netty,69,0,10,11.5,15,104,107,111,462,532,13.2,16.3,23.8,24.3,8.66,11.8,104,485,23,24,348,450,16.0,19.0,72.1,79.8
smoketest-get-movies-postgres,webflux-netty,69,0,10,11.2,14,104,107,125,438,509,14.2,19.0,23.9,24.4,7.42,11.4,107,517,28,28,343,446,19.2,22.9,79.4,87.8
smoketest-get-movies-postgres-no-cache,platform-tomcat,69,0,10,12.1,17,118,122,157,705,774,16.4,19.3,24.1,24.6,4.89,11.9,116,517,30,30,333,438,47.9,61.1,272,346
smoketest-get-movies-postgres-no-cache,loom-tomcat,69,0,10,12.1,17,124,127,190,754,813,19.2,22.5,24.1,24.6,5.15,11.7,116,510,27,27,333,436,55.4,70.7,306,386
smoketest-get-movies-postgres-no-cache,loom-netty,69,0,10,11.5,15,127,130,145,501,569,17.9,21.7,23.9,24.3,3.84,5.55,123,605,23,23,349,450,63.4,80.0,339,422
smoketest-get-movies-postgres-no-cache,webflux-netty,69,0,10,11.2,14,127,130,167,463,525,18.1,22.5,24.1,24.6,3.79,5.56,123,605,27,27,350,454,72.6,90.9,388,481
