scenario,approach,requests_ok,requests_error,requests_per_second_p50,requests_per_second_p90,requests_per_second_max,latency_millis_min,latency_millis_p50,latency_millis_p90,latency_millis_p99,latency_millis_max,cpu_use_percent_avg,cpu_use_percent_max,ram_use_percent_avg,ram_use_percent_max,heap_use_percent_avg,heap_use_percent_max,garbage_collection_count,garbage_collection_time_millis,platform_threads_avg,platform_threads_max,sockets_avg,sockets_max,network_kib_per_req_avg,network_kib_per_req_max,network_packets_per_req_avg,network_packets_per_req_max
smoketest-get-time,platform-tomcat,1300,0,200,200,201,0.33,0.39,0.52,0.81,2.60,4.62,6.27,12.5,12.6,3.56,4.18,119,539,62,62,69,103,0.88,1.07,8.61,11.7
smoketest-get-time,loom-tomcat,1300,0,200,200,201,0.34,0.42,0.55,0.85,5.33,4.32,5.35,16.2,16.3,4.53,6.12,126,609,22,22,69,103,0.87,1.06,8.60,11.6
smoketest-get-time,loom-netty,1300,0,200,200,201,0.43,0.53,0.71,1.11,2.91,4.92,7.91,16.4,16.4,4.51,6.36,136,608,18,18,86,104,0.62,0.73,5.36,6
smoketest-get-time,webflux-netty,1300,0,200,200,201,0.40,0.52,0.70,1.21,6.07,5.27,7.87,16.4,16.5,3.28,4.28,119,567,22,22,69,103,0.62,0.79,5.36,8.17
smoketest-get-movies-h2,platform-tomcat,69,0,10,11.8,16,104,105,120,601,669,4.93,8.73,16.5,16.6,3.99,9.77,131,605,29,30,11,13,4.67,5.62,20.7,24
smoketest-get-movies-h2,loom-tomcat,69,0,10,11.8,16,103,105,126,630,698,4.80,8.52,16.7,16.8,4.15,10.3,113,513,22,23,11,13,4.67,5.62,20.7,24
smoketest-get-movies-h2,loom-netty,69,0,10,11.2,14,103,106,109,377,445,4.69,8.05,16.9,17.1,7.10,10.6,121,532,18,19,11,13,4.23,5.00,14.4,16
smoketest-get-movies-h2,webflux-netty,69,0,10,11.2,14,103,105,108,366,434,4.48,6.82,16.9,17.1,7.06,10.4,121,540,22,23,11,13,4.63,5.48,21.1,24
smoketest-get-movies-postgres,platform-tomcat,69,0,10,11.8,16,103,105,110,609,678,13.0,16.2,19.2,19.7,7.76,13.5,122,539,30,31,346,451,13.4,15.0,97.4,107
smoketest-get-movies-postgres,loom-tomcat,69,0,10,12.1,17,104,106,120,672,740,14.0,18.3,19.2,19.8,8.44,13.5,107,454,27,28,340,445,15.9,18.3,96.1,107
smoketest-get-movies-postgres,loom-netty,69,0,10,11.2,14,104,107,110,430,499,13.7,15.4,19.0,19.5,7.74,11.6,121,578,23,24,354,455,18.3,20.9,90.1,97.8
smoketest-get-movies-postgres,webflux-netty,69,0,10,11.2,14,105,107,120,434,503,13.9,17.0,19.2,19.7,7.66,11.5,121,562,23,24,352,453,21.7,24.6,97.0,105
smoketest-get-movies-postgres-no-cache,platform-tomcat,69,0,10,12.1,17,119,123,157,688,757,17.8,20.1,19.4,19.9,6.03,13.0,130,576,29,30,339,441,52.8,63.2,305,363
smoketest-get-movies-postgres-no-cache,loom-tomcat,69,0,10,12.4,18,125,129,222,794,854,19.2,21.0,19.3,19.8,4.84,10.4,116,528,27,27,330,431,59.8,72.8,336,404
smoketest-get-movies-postgres-no-cache,loom-netty,69,0,10,11.5,15,128,132,152,505,572,20.3,23.2,19.2,19.6,4.90,10.5,137,660,22,23,354,455,68.6,81.6,373,439
smoketest-get-movies-postgres-no-cache,webflux-netty,69,0,10,11.2,14,129,132,165,454,522,19.1,21.3,19.3,19.7,5.43,10.8,130,656,26,27,348,451,79.3,92.8,429,497
