scenario,approach,requests_ok,requests_error,requests_per_second_p50,requests_per_second_p90,requests_per_second_max,latency_millis_min,latency_millis_p50,latency_millis_p90,latency_millis_p99,latency_millis_max,cpu_use_percent_avg,cpu_use_percent_max,ram_use_percent_avg,ram_use_percent_max,heap_use_percent_avg,heap_use_percent_max,garbage_collection_count,garbage_collection_time_millis,platform_threads_avg,platform_threads_max,sockets_avg,sockets_max,network_kib_per_req_avg,network_kib_per_req_max,network_packets_per_req_avg,network_packets_per_req_max
10k-vus-and-rps-get-movies,loom-tomcat,2994006,17673,10001,10349,11729,100,101,131,237,60001,78.2,95.9,24.0,24.9,53.5,81.2,64616,1019546,28,28,9907,10032,4.27,5.04,12.1,17.9
10k-vus-and-rps-get-movies,loom-netty,3014717,0,10001,10174,13355,100,101,114,199,839,77.6,96.8,24.4,25.2,66.0,93.9,35158,550099,24,24,10006,10007,3.97,4.27,8.02,13.6
10k-vus-and-rps-get-movies,webflux-netty,3018874,0,10014,10938,12049,100,110,186,427,2633,86.8,99.5,24.7,25.6,34.8,72.9,41888,594117,30,30,10007,10007,4.46,4.94,16.0,20.3
10k-vus-and-rps-get-movies-call-depth-1,loom-tomcat,1108541,74662,3818,4625,5894,105,618,1151,21897,60024,93.6,98.4,25.2,25.8,74.2,98.2,263003,10036548,28,28,10006,10028,5.38,8.57,21.4,56.7
10k-vus-and-rps-get-movies-call-depth-1,loom-netty,1545755,0,5159,6090,7343,272,1920,2419,2851,3960,98.6,100,25.2,25.8,67.8,96.8,174159,8279150,24,24,10007,10007,4.82,8.99,14.6,66.5
10k-vus-and-rps-get-movies-call-depth-1,webflux-netty,1346940,0,4472,5324,8068,203,2207,2810,3340,6669,98.7,99.9,25.3,26.1,80.9,94.2,153270,6405181,31,31,10007,10007,5.36,8.39,23.6,58.5
10k-vus-and-rps-get-movies-call-depth-2,loom-tomcat,477448,91227,1654,2413,3332,101,222,20009,60000,60015,85.3,98.2,25.3,25.9,77.7,97.7,156980,5382751,28,28,10003,10027,8.14,17.1,33.5,141
10k-vus-and-rps-get-movies-call-depth-2,loom-netty,902637,0,2986,3679,5676,329,3324,3946,4469,6820,98.7,99.9,24.9,25.4,65.4,98.8,159602,9764355,24,24,10007,10007,5.81,32.5,23.2,292
10k-vus-and-rps-get-movies-call-depth-2,webflux-netty,849901,0,2814,3382,5656,171,3526,4271,4937,7080,99.0,100,25.1,25.5,74.5,98.3,139841,7190376,31,31,10007,10007,6.27,20.6,31.8,182
1k-vus-and-rps-get-time-no-delay,loom-tomcat,301000,0,1000,1001,1014,0.23,1.37,1.59,2.03,34.9,31.4,43.2,14.3,14.5,32.4,61.8,4907,37699,28,28,996,1007,1.05,1.44,10.1,17.1
1k-vus-and-rps-get-time-no-delay,loom-netty,301011,0,1000,1001,1023,0.47,1.82,2.06,2.74,56.6,35.3,48.4,14.6,14.8,31.0,60.2,5987,95316,24,24,1007,1007,0.73,0.86,6.01,8.55
1k-vus-and-rps-get-time-no-delay,webflux-netty,301002,0,1000,1001,1031,0.35,1.76,2.36,3.08,56.4,33.5,44.4,14.6,14.9,31.2,60.4,5054,69917,31,31,1007,1007,0.74,0.79,6.00,6.93
25k-vus-smooth-spike-get-movies,loom-tomcat,923030,60215,3807,3986,4368,100,102,127,1023,60026,68.2,92.5,28.3,32.9,41.3,73.8,11269,244208,27,28,13606,23988,4.05,4.54,12.2,14.1
25k-vus-smooth-spike-get-movies,loom-netty,1778144,0,6020,10482,13917,100,101,151,336,1068,71.8,98.6,28.4,33.2,32.5,68.8,16272,427772,23,24,15004,25007,4.04,17.2,8.43,38.3
25k-vus-smooth-spike-get-movies,webflux-netty,1761020,0,5935,10378,12165,100,102,227,539,1272,71.9,99.5,28.4,33.1,33.1,69.2,14222,390361,30,31,15016,25007,4.52,15.3,16.5,60.7
25k-vus-smooth-spike-get-post-movies,loom-tomcat,926404,61596,3832,3978,4145,0.07,102,122,960,60012,69.8,99.8,30.7,35.0,40.6,76.7,12656,242965,27,28,13423,23947,7.16,13.7,13.0,30.4
25k-vus-smooth-spike-get-post-movies,loom-netty,1749689,0,5687,10457,17802,100,102,206,714,1722,75.2,99.8,30.5,34.8,34.1,68.2,17875,493488,23,24,14751,25007,7.85,89.9,9.97,136
25k-vus-smooth-spike-get-post-movies,webflux-netty,1612945,0,5621,8744,13380,100,112,894,1778,5151,77.9,100,31.1,36.2,38.1,83.8,17601,516754,30,31,14772,25007,8.20,90.5,18.3,221
25k-vus-smooth-spike-get-post-movies-call-depth-1,loom-tomcat,608407,82454,2296,3378,4744,0.07,104,233,27782,60018,74.3,99.8,32.4,36.4,56.6,96.6,28955,697559,27,28,13284,24620,8.65,63.3,25.4,195
25k-vus-smooth-spike-get-post-movies-call-depth-1,loom-netty,1087962,0,3860,5617,7966,101,605,3412,12009,34293,87.4,100,31.7,36.9,47.4,93.8,46132,2155909,23,24,14741,25007,11.3,423,23.7,799
