scenario,approach,requests_ok,requests_error,requests_per_second_p50,requests_per_second_p90,requests_per_second_max,latency_millis_min,latency_millis_p50,latency_millis_p90,latency_millis_p99,latency_millis_max,cpu_use_percent_avg,cpu_use_percent_max,ram_use_percent_avg,ram_use_percent_max,heap_use_percent_avg,heap_use_percent_max,garbage_collection_count,garbage_collection_time_millis,platform_threads_avg,platform_threads_max,sockets_avg,sockets_max,network_kib_per_req_avg,network_kib_per_req_max,network_packets_per_req_avg,network_packets_per_req_max
rest-client-jdk-5k-vus-smooth-spike-get-post-movies-call-depth-1,loom-tomcat,216524,0,1200,2134,2376,101,102,103,107,509,20.1,39.1,7.43,8.11,34.0,66.0,6306,54424,96,108,3067,5009,8.92,14.4,23.8,46.3
rest-client-jdk-5k-vus-smooth-spike-get-post-movies-call-depth-1,loom-netty,216571,0,1209,2131,2401,101,103,104,110,420,25.7,48.3,8.81,9.42,30.7,61.1,6874,57345,86,99,3065,5009,8.35,14.5,16.5,34.6
rest-client-jdk-5k-vus-smooth-spike-get-post-movies-call-depth-1,webflux-netty,216067,0,1193,2112,2380,101,104,107,113,424,28.4,50.7,8.92,9.53,29.6,62.2,6589,51428,60,62,3067,5009,8.86,16.2,24.4,46.8
rest-client-apache5-5k-vus-smooth-spike-get-post-movies-call-depth-1,loom-tomcat,216412,0,1215,2141,2423,100,102,103,105,458,16.6,30.7,9.13,9.76,32.5,66.4,6424,45546,58,60,3066,5009,9.19,17.0,23.7,45.8
rest-client-apache5-5k-vus-smooth-spike-get-post-movies-call-depth-1,loom-netty,216242,0,1203,2140,2407,101,103,104,108,396,21.2,41.2,9.49,10.1,30.7,62.9,6672,50747,53,55,3067,5009,8.50,13.3,16.0,32.8
rest-client-apache5-5k-vus-smooth-spike-get-post-movies-call-depth-1,webflux-netty,216412,0,1199,2141,2404,101,104,107,115,423,28.5,54.1,9.62,10.3,30.0,63.1,5673,55225,58,62,3067,5009,8.85,13.3,24.7,40
rest-client-reactor-netty-5k-vus-smooth-spike-get-post-movies-call-depth-1,loom-tomcat,216814,0,1212,2165,2379,100,102,103,106,454,18.7,36.7,9.77,10.4,33.0,62.7,7250,47078,53,54,3067,5009,8.94,13.4,23.7,38.5
rest-client-reactor-netty-5k-vus-smooth-spike-get-post-movies-call-depth-1,loom-netty,216238,0,1181,2130,2382,101,103,104,109,313,23.2,43.7,9.96,10.6,29.8,63.1,7012,60801,48,50,3066,5009,8.37,14.2,16.6,33.2
rest-client-reactor-netty-5k-vus-smooth-spike-get-post-movies-call-depth-1,webflux-netty,216266,0,1199,2165,2431,101,104,107,115,350,28.3,52.9,10.0,10.7,29.5,61.0,6997,51805,57,62,3066,5009,8.85,15.2,24.5,48.5
web-client-reactor-netty-5k-vus-smooth-spike-get-post-movies-call-depth-1,loom-tomcat,216571,0,1195,2155,2390,101,102,103,106,485,18.9,37.1,10.2,10.9,34.1,65.9,6948,44013,53,55,3067,5009,8.94,14.9,23.8,43.7
web-client-reactor-netty-5k-vus-smooth-spike-get-post-movies-call-depth-1,loom-netty,216552,0,1204,2162,2392,101,103,104,109,327,24.1,47.1,10.4,11.0,29.6,62.7,6681,53709,48,50,3066,5009,8.36,12.7,16.4,28.9
web-client-reactor-netty-5k-vus-smooth-spike-get-post-movies-call-depth-1,webflux-netty,216405,0,1190,2147,2412,101,104,107,114,343,28.4,52.9,10.5,11.2,29.8,61.1,6228,50961,58,61,3066,5009,8.87,16.3,24.6,51.8
rest-client-jdk-5k-vus-smooth-spike-get-post-movies-call-depth-2,loom-tomcat,216491,0,1185,2157,2422,101,103,106,117,445,27.2,52.1,10.6,11.4,35.9,71.8,8708,75303,98,119,3066,5009,9.99,15.1,33.9,55.5
rest-client-jdk-5k-vus-smooth-spike-get-post-movies-call-depth-2,loom-netty,216269,0,1200,2157,2459,101,105,107,115,407,34.1,58.1,10.9,11.5,31.8,63.1,8493,74369,94,111,3066,5009,9.16,15.8,23.4,47.8
rest-client-jdk-5k-vus-smooth-spike-get-post-movies-call-depth-2,webflux-netty,215907,0,1184,2188,2393,101,107,111,121,489,36.4,58.8,11.0,11.6,31.7,61.7,7452,59987,59,62,3066,5009,9.69,16.5,31.4,59.4
rest-client-apache5-5k-vus-smooth-spike-get-post-movies-call-depth-2,loom-tomcat,216626,0,1185,2156,2398,101,102,104,110,417,20.3,42.1,11.0,11.7,35.2,67.7,7678,59822,58,59,3067,5009,10.6,16.3,33.8,53.4
rest-client-apache5-5k-vus-smooth-spike-get-post-movies-call-depth-2,loom-netty,216338,0,1200,2128,2427,101,103,106,113,499,26.6,48.6,11.2,11.8,31.2,62.8,8459,72489,54,56,3067,5009,9.48,15.8,22.5,48.4
rest-client-apache5-5k-vus-smooth-spike-get-post-movies-call-depth-2,webflux-netty,216138,0,1205,2138,2393,101,107,111,121,451,36.3,57.1,11.2,11.8,31.0,63.6,7134,62252,58,62,3066,5009,9.69,16.2,31.5,59.1
rest-client-reactor-netty-5k-vus-smooth-spike-get-post-movies-call-depth-2,loom-tomcat,216767,0,1210,2138,2381,101,103,105,112,514,24.9,47.1,11.4,12.1,33.5,68.1,8058,66315,53,55,3067,5009,10.1,17.3,34.0,61.7
rest-client-reactor-netty-5k-vus-smooth-spike-get-post-movies-call-depth-2,loom-netty,216321,0,1209,2165,2430,101,104,107,117,352,30.5,55.7,11.4,12.0,30.5,63.5,8073,71806,48,50,3067,5009,9.24,15.7,23.6,51.3
