scenario,approach,requests_ok,requests_error,requests_per_second_p50,requests_per_second_p90,requests_per_second_max,latency_millis_min,latency_millis_p50,latency_millis_p90,latency_millis_p99,latency_millis_max,cpu_use_percent_avg,cpu_use_percent_max,ram_use_percent_avg,ram_use_percent_max,heap_use_percent_avg,heap_use_percent_max,garbage_collection_count,garbage_collection_time_millis,platform_threads_avg,platform_threads_max,sockets_avg,sockets_max,network_kib_per_req_avg,network_kib_per_req_max,network_packets_per_req_avg,network_packets_per_req_max
5k-vus-and-1k-rps-get-movies-call-depth-0,loom-tomcat,304901,0,1000,1001,1015,100,102,102,103,145,36.9,52.4,13.9,14.2,37.4,66.5,6492,110083,28,28,4981,5008,4.28,4.64,12.1,18.1
5k-vus-and-1k-rps-get-movies-call-depth-0,loom-netty,304898,0,1000,1001,1049,101,102,103,106,189,41.8,59.0,15.9,16.3,32.9,62.4,6924,200496,24,24,4981,5008,3.98,4.36,8.09,14.1
5k-vus-and-1k-rps-get-movies-call-depth-0,webflux-netty,304902,0,1000,1001,1015,101,103,103,107,191,47.9,63.8,15.9,16.4,32.5,62.5,6197,164549,31,31,4984,5008,4.46,4.81,16.1,22.1
5k-vus-and-1k-rps-get-movies-call-depth-1,loom-tomcat,304903,0,1000,1002,1064,101,104,106,129,230,65.1,80.0,17.5,17.9,51.4,81.6,11955,258094,28,28,4984,5008,5.42,5.89,22.7,30.4
5k-vus-and-1k-rps-get-movies-call-depth-1,loom-netty,304909,0,1000,1002,1037,101,104,107,126,207,62.4,81.1,16.6,16.9,33.8,63.2,10488,229410,24,24,4980,5008,4.88,5.24,16.1,22.1
5k-vus-and-1k-rps-get-movies-call-depth-1,webflux-netty,304897,0,1000,1002,1043,101,105,106,130,228,61.0,75.4,16.9,17.2,34.7,64.8,9127,193019,31,31,4984,5008,5.35,5.86,24.1,30.6
5k-vus-and-1k-rps-get-movies-call-depth-2,loom-tomcat,304900,0,1000,1001,1049,101,104,105,133,215,61.7,80.8,19.0,19.3,42.9,81.7,21490,363535,28,28,4983,5008,6.54,7.22,32.9,42.0
5k-vus-and-1k-rps-get-movies-call-depth-2,loom-netty,304896,0,1000,1001,1090,102,104,105,130,267,61.8,78.1,17.3,17.6,36.1,66.0,14739,254888,24,24,4981,5008,5.78,6.50,24.1,30.2
5k-vus-and-1k-rps-get-movies-call-depth-2,webflux-netty,304896,0,1000,1002,1060,102,105,108,137,237,62.6,76.2,17.4,17.7,35.5,65.5,11934,201354,31,31,4980,5008,6.25,6.70,32.1,39.0
5k-vus-and-1k-rps-get-movies-call-depth-5,loom-tomcat,298101,6796,1000,1001,1423,102,104,107,150,60001,60.9,81.3,20.0,20.3,49.1,85.7,42613,589614,28,28,4904,5008,9.73,15.5,63.6,106
