timestamp;%user;%system;%iowait;%memused;rxpck/s;txpck/s;rxkB/s;txkB/s;tcpsck;active/s;passive/s;iseg/s;oseg/s
1781424815;15.22;4.50;0.32;24.80;8139.00;8139.00;983.25;983.25;948;2503.00;0.00;8127.00;6905.00
1781424816;29.58;5.03;0.88;24.97;8572.00;8572.00;1055.66;1055.66;332;3240.00;1.00;8572.00;7665.00
1781424817;15.85;4.47;0.64;25.03;11327.00;11327.00;925.52;925.52;72;4609.00;0.00;11338.00;10546.00
1781424818;17.19;5.47;0.26;25.11;12999.00;12999.00;668.95;668.95;38;5866.00;0.00;13007.00;12569.00
1781424819;19.18;5.80;0.16;25.18;15523.00;15523.00;758.77;758.77;38;7142.00;0.00;15536.00;15122.00
1781424820;16.80;5.62;0.42;25.25;18032.00;18032.00;881.88;881.88;40;8295.00;1.00;18029.00;17552.00
1781424821;20.32;7.17;0.31;25.64;19970.00;19970.00;975.78;975.78;37;9535.00;0.00;19954.00;19660.00
1781424822;35.97;5.98;0.68;26.19;22232.00;22232.00;1086.05;1086.05;36;10737.00;0.00;22262.00;22001.00
1781424823;17.57;4.62;0.36;26.60;14411.00;14411.00;704.10;704.10;36;7008.00;0.00;14389.00;14265.00
1781424824;16.78;4.45;0.20;26.58;4229.00;4229.00;206.57;206.57;34;2054.00;0.00;4225.00;4187.00
