scenario,approach,requests_ok,requests_error,requests_per_second_p50,requests_per_second_p90,requests_per_second_max,latency_millis_min,latency_millis_p50,latency_millis_p90,latency_millis_p99,latency_millis_max,cpu_use_percent_avg,cpu_use_percent_max,ram_use_percent_avg,ram_use_percent_max,heap_use_percent_avg,heap_use_percent_max,garbage_collection_count,garbage_collection_time_millis,platform_threads_avg,platform_threads_max,sockets_avg,sockets_max,network_kib_per_req_avg,network_kib_per_req_max,network_packets_per_req_avg,network_packets_per_req_max
smoketest,loom-tomcat,30,0,5,5.40,6,110,112,115,243,293,1.58,2.06,4.30,4.31,11.1,11.7,77,126,35,38,12,15,1.86,2.67,19.9,31.6
smoketest,loom-netty,30,0,5,5.40,6,112,117,125,190,214,2.22,3.87,5.88,5.89,8.53,9.40,112,144,32,38,12,15,1.39,2.05,13.8,23.6
smoketest,webflux-netty,30,0,5,5.40,6,111,115,126,190,215,1.66,2.15,5.91,5.93,11.0,11.8,77,119,47,58,12,15,1.39,2.05,13.8,23.6
1k-vus-and-rps-get-time-no-delay,loom-tomcat,180999,0,1000,1001,1002,0.09,0.48,0.72,1.34,19.2,6.52,9.10,8.14,8.29,30.6,59.7,3856,21357,56,57,998,1010,1.02,1.46,10.1,18.0
1k-vus-and-rps-get-time-no-delay,loom-netty,180999,0,1000,1001,1003,0.10,0.98,1.26,1.61,31.3,7.58,10.2,8.71,8.83,30.1,59.7,3311,17599,53,54,1004,1010,0.71,0.72,6.00,6.23
1k-vus-and-rps-get-time-no-delay,webflux-netty,180999,0,1000,1001,1001,0.13,1.02,1.56,1.88,37.4,8.81,11.7,8.80,9.10,29.6,59.2,2982,17987,56,57,1004,1010,0.72,0.72,6.00,6.27
5k-vus-and-rps-get-time,loom-tomcat,904639,0,5000,5003,5109,100,101,101,103,162,21.0,29.4,11.1,11.4,41.1,71.3,6727,62110,57,58,4957,5010,1.13,1.51,12.0,18.8
5k-vus-and-rps-get-time,loom-netty,904555,0,5000,5003,5146,100,101,101,103,139,31.7,38.9,11.5,11.8,33.3,63.1,6659,73035,53,54,4982,5010,0.82,0.85,7.99,8.25
5k-vus-and-rps-get-time,webflux-netty,904519,0,5000,5002,5018,100,101,101,103,142,27.3,32.9,11.7,12.0,33.2,62.1,4850,57656,57,58,4982,5010,0.82,0.83,7.99,8.04
5k-vus-and-rps-get-movies,loom-tomcat,904564,0,5000,5003,5058,100,101,101,103,137,22.5,43.4,12.2,12.5,48.8,79.0,7751,69181,57,59,4957,5010,4.37,4.76,12.0,18.7
