scenario,approach,requests_ok,requests_error,requests_per_second_p50,requests_per_second_p90,requests_per_second_max,latency_millis_min,latency_millis_p50,latency_millis_p90,latency_millis_p99,latency_millis_max,cpu_use_percent_avg,cpu_use_percent_max,ram_use_percent_avg,ram_use_percent_max,heap_use_percent_avg,heap_use_percent_max,garbage_collection_count,garbage_collection_time_millis,platform_threads_avg,platform_threads_max,sockets_avg,sockets_max,network_kib_per_req_avg,network_kib_per_req_max,network_packets_per_req_avg,network_packets_per_req_max
smoketest,loom-tomcat,55,0,5,5,5,104,105,112,113,113,11.3,12.2,20.0,20.2,23.7,23.9,144,348,39,39,37,42,3.43,4.74,39.7,51.2
smoketest,loom-netty,55,0,5,5.90,6,104,107,113,120,122,13.3,17.2,20.2,20.7,21.4,21.7,156,416,37,37,45,50,2.13,4.06,19.2,33.3
smoketest,webflux-netty,55,0,5,5,6,103,105,111,117,118,11.4,12.2,19.6,19.8,21.9,22.0,156,325,61,61,41,46,2.40,3.33,20.6,27.6
1k-vus-and-rps-get-time-no-delay,loom-tomcat,11002,0,1000,1001,1012,0.05,0.21,0.62,0.89,7.03,17.7,22.8,20.6,21.1,34.1,38.9,156,351,56,56,38,41,1.41,1.58,18.0,20.2
1k-vus-and-rps-get-time-no-delay,loom-netty,10999,0,1000,1001,1002,0.06,0.22,0.61,1.01,3.67,14.6,18,21.1,21.3,47.8,58.3,180,405,51,52,1037,1038,0.65,0.72,5.44,6.06
1k-vus-and-rps-get-time-no-delay,webflux-netty,10999,0,1000,1001,1004,0.08,0.60,0.88,1.25,6.82,16.2,18.5,21.2,21.4,44.5,56.4,156,364,60,60,938,1040,0.68,0.72,6.04,6.35
5k-vus-and-rps-get-time,loom-tomcat,54499,0,5000,5004,5069,100,100,101,103,111,31.0,34.6,22.7,22.9,36.5,59.9,168,542,56,56,490,553,1.42,1.58,18.2,20.1
5k-vus-and-rps-get-time,loom-netty,54500,0,5000,5003,5003,100,100,101,104,133,28.2,32.8,22.9,23.2,33.0,58.0,167,1058,52,52,4537,5039,0.78,0.82,7.88,8.02
5k-vus-and-rps-get-time,webflux-netty,54504,0,5000,5002,5004,100,100,101,108,147,25.7,30.6,23.0,23.7,30.9,57.1,167,868,58,59,4538,5044,0.78,0.83,7.87,8.03
5k-vus-and-rps-get-movies,loom-tomcat,54503,0,5001,5003,5003,100,100,101,103,114,26.8,33.5,24.5,25,42.3,64.9,202,780,56,57,496,554,4.42,4.85,18.3,20.1
5k-vus-and-rps-get-movies,loom-netty,54503,0,5000,5004,5005,100,100,101,131,172,22.4,31.3,24.2,24.6,35.7,59.0,171,1210,53,53,5039,5044,4.08,4.09,8.01,8.01
5k-vus-and-rps-get-movies,webflux-netty,54505,0,5000,5003,5006,100,100,101,103,114,28.9,36.5,23.6,24.4,33.6,58.2,172,923,60,60,4537,5039,4.19,4.57,15.2,16.0
10k-vus-and-rps-get-movies,loom-tomcat,109095,0,10002,10021,10061,100,100,101,111,132,39.7,51.8,26.1,26.7,62.1,72.5,332,3225,56,57,951,1087,4.47,4.84,18.5,20.1
10k-vus-and-rps-get-movies,loom-netty,109085,0,10006,10038,10246,100,100,101,116,136,36.5,47.1,24.9,25.7,36.2,60.8,221,2073,52,53,9039,10044,3.78,4.19,7.92,8.21
10k-vus-and-rps-get-movies,webflux-netty,109131,0,10002,10005,10134,100,100,101,106,122,36.5,51.7,25.2,25.9,34.3,62.6,220,1156,59,60,9041,10047,4.25,4.57,15.4,16.0
10k-vus-and-rps-get-movies-call-depth-1,loom-tomcat,42023,0,3212,5559,6908,103,1700,6178,8476,9200,80.3,89.9,26.3,26.6,82.2,97.9,987,37774,53,57,8574,10041,6.38,7.60,38.2,42.4
10k-vus-and-rps-get-movies-call-depth-1,loom-netty,109055,0,10000,10026,10432,100,100,101,108,138,41.4,51.0,26.4,27.3,52.2,66.6,338,3499,52,53,9043,10048,4.61,4.99,15.3,16.0
10k-vus-and-rps-get-movies-call-depth-1,webflux-netty,111180,0,10002,10262,12443,100,101,101,113,216,41.2,52.4,25.8,26.4,51.2,81.6,333,3405,60,61,9036,10038,4.96,5.62,22.3,24.8
20k-vus-stepped-spike-get-movies,loom-tomcat,64768,0,6576,9885,12062,100,100,101,105,118,29.1,47.4,28.3,29.0,65.1,74.0,236,1674,56,57,724,1650,4.91,11.3,20.1,44.4
20k-vus-stepped-spike-get-movies,loom-netty,64680,0,6781,9551,11890,100,100,101,112,148,28.4,43.2,28.2,29.3,33.7,61.5,199,1576,52,53,16862,20039,4.00,7.71,9.06,15.5
20k-vus-stepped-spike-get-movies,webflux-netty,64727,0,6472,9873,12185,100,101,101,118,140,35.3,53.9,27.2,28.0,31.5,56.5,201,1713,59,60,16778,20037,4.83,11.6,18.1,42.0
20k-vus-smooth-spike-get-movies,loom-tomcat,58610,0,5568,9082,10273,100,100,101,104,137,37.3,56.8,26.8,27.4,55.3,72.0,205,1049,56,57,583,1088,4.68,7.89,19.5,32.9
20k-vus-smooth-spike-get-movies,loom-netty,58764,0,5547,9083,10293,100,101,101,118,146,36.8,49.7,26.8,27.8,36.2,61.0,210,1710,52,53,15637,20034,4.12,6.89,10.0,18.0
20k-vus-smooth-spike-get-movies,webflux-netty,58661,0,5574,9125,10173,100,101,101,112,144,37.7,53.9,26.7,27.6,35.9,54.1,195,1930,60,61,15676,20035,4.60,7.86,17.9,31.6
20k-vus-smooth-spike-get-post-movies,loom-tomcat,58687,0,5598,9047,10333,100,101,101,104,117,43.6,54.5,28.0,28.9,40.5,75.0,289,1684,56,57,601,1158,7.86,11.0,20.1,28.4
20k-vus-smooth-spike-get-post-movies,loom-netty,58671,0,5513,9092,10247,100,100,101,113,145,31.9,45.8,28.3,29.0,27.6,51.7,239,1685,52,53,14551,20034,7.25,10.4,10.9,17.2
20k-vus-smooth-spike-get-post-movies,webflux-netty,58708,0,5554,9147,10224,100,100,101,110,131,34.4,43.7,29.1,30.3,37.4,64.2,251,1485,72,73,14736,20039,7.73,11.2,18.5,28.2
20k-vus-smooth-spike-get-post-movies-call-depth-1,loom-tomcat,58620,0,5574,9048,10361,100,101,102,111,142,39.6,68.2,29.9,30.5,64.3,85.7,932,14129,56,57,607,1158,9.30,13.2,38.7,55.0
20k-vus-smooth-spike-get-post-movies-call-depth-1,loom-netty,58758,0,5533,9063,10257,100,101,101,111,123,38.5,47.8,29.0,30.2,42.8,63.1,305,2235,52,53,14583,20038,8.10,11.7,18.5,28.3
20k-vus-smooth-spike-get-post-movies-call-depth-1,webflux-netty,58609,0,5523,9131,10133,100,101,103,116,138,48.5,57.9,28.8,29.4,43.1,64.8,304,2256,73,74,14077,20036,8.58,11.0,26.2,35.2
20k-vus-smooth-spike-get-post-movies-call-depth-2,loom-tomcat,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20k-vus-smooth-spike-get-post-movies-call-depth-2,loom-netty,58674,0,5565,9180,10237,100,101,103,121,166,46.5,60.2,29.6,30.6,53.3,76.0,345,3965,52,53,14570,20037,8.94,12.6,26.1,38.3
20k-vus-smooth-spike-get-post-movies-call-depth-2,webflux-netty,58755,0,5524,9075,10237,100,101,104,117,143,49.4,59.7,28.8,29.4,41.0,69.3,328,4106,69,70,14621,20035,9.44,13.4,33.8,49.5
