scenario,approach,requests_ok,requests_error,requests_per_second_p50,requests_per_second_p90,requests_per_second_max,latency_millis_min,latency_millis_p50,latency_millis_p90,latency_millis_p99,latency_millis_max,cpu_use_percent_avg,cpu_use_percent_max,ram_use_percent_avg,ram_use_percent_max,heap_use_percent_avg,heap_use_percent_max,garbage_collection_count,garbage_collection_time_millis,platform_threads_avg,platform_threads_max,sockets_avg,sockets_max,network_kib_per_req_avg,network_kib_per_req_max,network_packets_per_req_avg,network_packets_per_req_max
40k-vus-and-rps-get-time-no-delay,loom-tomcat,7037986,143965,39986,43381,48436,0.07,0.51,65.0,329,60001,76.4,100,23.7,25.6,46.6,78.4,61881,401775,53,53,39746,40073,1.18,19.8,11.5,205
40k-vus-and-rps-get-time-no-delay,loom-netty,7260466,0,40017,45022,62797,0.08,0.49,122,1477,6122,76.2,99.9,23.3,24.8,47.4,82.3,51791,520149,49,50,39946,40008,0.79,4.74,6.70,44.9
40k-vus-and-rps-get-time-no-delay,webflux-netty,7329161,0,40068,48019,71884,0.09,3.45,110,614,2562,65.2,100,23.3,24.5,51.1,79.5,27925,261223,56,57,39998,40007,1.24,83.2,11.0,772
40k-vus-and-rps-get-time,loom-tomcat,5190346,170423,29985,34368,37087,100,232,332,664,59045,87.0,99.9,23.6,25.6,73.2,99.0,522680,8394320,53,53,39862,40057,1.13,4.35,11.3,47.7
40k-vus-and-rps-get-time,loom-netty,6380558,0,36100,41009,48938,115,1000,1509,2171,3813,94.5,99.8,27.1,31.9,73.3,97.5,221869,6423101,49,50,39964,40007,0.88,5.16,8.27,50.7
40k-vus-and-rps-get-time,webflux-netty,7472361,0,40052,47455,69328,100,102,227,733,4831,72.9,100.0,24.7,25.7,45.0,75.9,40834,550230,56,57,39967,40007,0.87,3.51,8.26,33.5
40k-vus-and-rps-get-movies,loom-tomcat,4733963,155653,27471,31109,35740,101,273,412,1032,60404,88.6,100,24.4,26.1,71.0,98.5,450225,7515280,53,54,39851,40057,5.10,138,13.9,475
40k-vus-and-rps-get-movies,loom-netty,4963627,0,27986,31372,34256,108,1364,2325,3372,6625,94.9,100,25.1,26.7,75.4,96.7,176249,4647836,49,51,39994,40057,4.56,85.0,7.99,303
40k-vus-and-rps-get-movies,webflux-netty,4565686,0,25646,29951,39141,173,1492,2085,2812,4152,94.7,99.8,24.9,26.1,69.7,98.1,177464,4822054,56,58,39998,40007,6.93,399,26.7,1834
60k-vus-stepped-spike-get-movies,loom-tomcat,684609,174979,3894,3958,4032,100,101,101,107,60001,34.7,100,24.6,28.7,40.1,71.3,7848,40450,53,55,36337,60007,4.02,5.33,14.2,32.2
60k-vus-stepped-spike-get-movies,loom-netty,2941235,0,14513,28122,37736,100,101,105,491,1407,60.5,99.7,27.6,32.9,43.9,85.3,21013,217486,49,51,40595,60007,4.11,6.73,8.42,23.1
60k-vus-stepped-spike-get-movies,webflux-netty,2942454,0,14439,28332,33776,100,101,120,336,1156,61.9,100.0,27.7,32.3,46.5,87.5,16031,164197,55,58,40540,60007,4.59,5.47,16.4,41.3
60k-vus-smooth-spike-get-movies,loom-tomcat,657887,151778,3885,3951,4026,100,101,101,105,60001,35.7,72.6,23.8,27.6,39.3,70.9,7232,44430,53,55,32594,57409,3.92,5.20,13.4,18.1
60k-vus-smooth-spike-get-movies,loom-netty,2595672,0,14521,25363,34250,100,101,103,269,682,55.3,99.2,26.6,32.6,42.7,85.6,16638,182586,49,51,36389,60007,4.12,4.96,8.59,39.9
60k-vus-smooth-spike-get-movies,webflux-netty,2587827,0,14225,25502,30715,100,101,107,357,1138,56.5,99.8,26.7,32.6,42.6,83.0,14754,153498,56,59,36386,60006,4.60,5.27,16.6,61.6
60k-vus-smooth-spike-get-post-movies,loom-tomcat,658046,146633,3890,3948,4002,100,101,102,105,60001,38.2,95.7,27.2,31.0,39.0,70.6,8258,54612,52,55,32259,57375,6.65,8.14,14.0,15.9
60k-vus-smooth-spike-get-post-movies,loom-netty,2583908,0,14463,25449,32532,100,101,113,298,1275,61.5,99.8,29.8,34.7,43.4,82.2,18011,213575,48,51,35562,60007,7.73,58.7,9.76,97.3
60k-vus-smooth-spike-get-post-movies,webflux-netty,2332643,0,13811,21177,25034,100,102,1053,2364,9666,67.3,99.9,30.7,35.5,44.3,95.8,26640,443448,68,71,35521,60005,8.34,76.7,18.3,198
