scenario,approach,requests_ok,requests_error,requests_per_second_p50,requests_per_second_p90,requests_per_second_max,latency_millis_min,latency_millis_p50,latency_millis_p90,latency_millis_p99,latency_millis_max,cpu_use_percent_avg,cpu_use_percent_max,ram_use_percent_avg,ram_use_percent_max,heap_use_percent_avg,heap_use_percent_max,garbage_collection_count,garbage_collection_time_millis,platform_threads_avg,platform_threads_max,sockets_avg,sockets_max,network_kib_per_req_avg,network_kib_per_req_max,network_packets_per_req_avg,network_packets_per_req_max
10-vus-and-rps-get-movies-postgres-no-cache,loom-tomcat,410,0,3.50,7,10,2513,2833,3117,4756,5175,74.4,79.9,12.9,13.9,27.9,61.7,2600,17923,34,35,932,1018,2920,13872,13386,49920
10-vus-and-rps-get-movies-postgres-no-cache,loom-netty,410,0,3,8,10,2505,2838,3191,3727,4139,74.6,80.1,15.6,16.4,28.4,61.7,2440,15565,30,31,938,1018,2225,10833,10911,52224
10-vus-and-rps-get-movies-postgres-no-cache,webflux-netty,482,0,4,5.70,8,1858,2235,3927,5253,6151,83.3,86.0,15.6,16.3,30.2,61.0,2956,21867,38,39,940,1018,3184,14254,15658,54188
50-vus-and-rps-get-movies-postgres-no-cache,loom-tomcat,502,0,0,18.7,49,6052,11910,12806,13753,14010,89.1,90.9,14.1,15.9,38.9,77.1,3545,60691,34,35,939,1058,686,8228,3509,60210
50-vus-and-rps-get-movies-postgres-no-cache,loom-netty,501,0,0,22,50,6012,11926,12770,13677,13897,89.4,91.0,16.4,18.4,39.5,75.9,3633,74380,30,31,946,1058,902,13027,4418,61634
50-vus-and-rps-get-movies-postgres-no-cache,webflux-netty,518,0,4,7,8,2898,12039,14670,15359,15456,83.6,86.2,15.9,16.5,30.0,60.9,3141,26528,38,39,973,1058,3810,12061,19091,61086
100-vus-and-rps-get-movies-postgres-no-cache,loom-tomcat,600,0,0,17.9,42,19263,22881,23925,26552,27402,95.6,97.2,16.8,18.9,48.8,82.4,4438,112574,34,35,936,1108,775,11338,2956,62678
100-vus-and-rps-get-movies-postgres-no-cache,loom-netty,600,0,0,22,47,19637,22998,24037,25343,26440,95.8,97.9,16.8,18.9,46.1,80.5,4445,114886,30,31,941,1108,1148,24446,4649,67434
100-vus-and-rps-get-movies-postgres-no-cache,webflux-netty,556,0,4,8,8,3036,24965,27825,29274,30485,83.8,86.0,16.3,17.6,36.0,73.3,3841,56573,37,38,1024,1108,2705,14463,13683,58514
200-vus-and-rps-get-movies-postgres-no-cache,loom-tomcat,578,22,4,15.8,44,29525,44068,52493,60001,60002,98.8,100,14.8,17.1,53.6,86.0,4725,129076,34,35,942,1208,1769,16302,10394,66276
200-vus-and-rps-get-movies-postgres-no-cache,loom-netty,582,18,4,16,29,30122,44629,51719,60002,60007,98.8,99.9,17.1,19.5,52.7,83.9,4666,140635,30,31,936,1208,1330,12361,7991,68564
200-vus-and-rps-get-movies-postgres-no-cache,webflux-netty,565,0,4,8,8,3052,50270,53289,58249,59295,83.8,87.1,16.6,18.4,40.4,81.0,3972,61950,37,38,1127,1208,2945,14435,14572,57528
300-vus-and-rps-get-movies-postgres-no-cache,loom-tomcat,126,474,2,16,150,37721,60000,60003,60005,60007,99.1,100,15.1,17.7,61.4,90.4,5860,187751,34,35,947,1236,1488,10432,10240,61512
300-vus-and-rps-get-movies-postgres-no-cache,loom-netty,128,472,1.50,13,138,38284,60001,60002,60007,60018,99.2,100,17.6,20.0,60.5,91.9,5359,188522,30,31,950,1264,1426,9806,10308,74026
300-vus-and-rps-get-movies-postgres-no-cache,webflux-netty,438,267,3,8,84,3112,59276,60001,60001,60004,83.8,85.8,16.6,18.5,41.0,85.9,4174,66631,36,37,1227,1308,2749,10985,14324,58986
400-vus-and-rps-get-movies-postgres-no-cache,loom-tomcat,125,675,1,11,145,40526,60000,60002,60006,60008,99.2,100,17.4,19.8,61.9,93.7,5954,204482,34,35,1045,1328,1238,9326,8976,70272
400-vus-and-rps-get-movies-postgres-no-cache,loom-netty,122,678,0,11,277,41149,60001,60002,60006,60009,99.2,100,17.7,20.2,60.6,96.4,5736,220063,30,31,1055,1354,996,4713,7209,32912
400-vus-and-rps-get-movies-postgres-no-cache,webflux-netty,448,456,4,8,158,2899,59986,60001,60003,60012,84.1,86.5,17.0,18.7,40.4,80.0,3886,58241,36,37,1331,1408,2754,13168,14500,57472
500-vus-and-rps-get-movies-postgres-no-cache,loom-tomcat,114,886,0,12.2,382,42188,60000,60003,60016,60029,99.2,100,16.4,18.1,63.9,96.6,6466,215706,34,35,1148,1446,1097,9399,7797,68032
500-vus-and-rps-get-movies-postgres-no-cache,loom-netty,115,885,0,13,367,39173,60001,60002,60008,60020,99.2,100,17.6,20.2,61.3,98.0,6173,208810,30,31,1139,1424,1282,9132,9231,66474
500-vus-and-rps-get-movies-postgres-no-cache,webflux-netty,385,718,3,8,292,3093,60000,60001,60003,60015,84.1,86.4,16.8,18.6,40.3,82.2,3959,57838,37,38,1427,1508,2842,10944,16071,59052
