timestamp;%user;%system;%iowait;%memused;rxpck/s;txpck/s;rxkB/s;txkB/s;tcpsck;active/s;passive/s;iseg/s;oseg/s
1781427590;78.73;11.47;0.15;32.92;133467.00;133467.00;34285.23;34285.23;26235;27755.00;24256.00;133497.00;133169.00
1781427591;67.96;11.65;0.41;32.97;35970.00;35970.00;10545.67;10545.67;30032;5049.00;6456.00;35944.00;31234.00
1781427592;65.25;6.01;0.36;33.02;12161.00;12161.00;3090.90;3090.90;30032;0.00;746.00;12161.00;7496.00
1781427593;15.95;6.35;0.36;29.81;66080.00;66080.00;4121.91;4121.91;32;0.00;0.00;66080.00;64729.00
1781427594;13.46;5.11;0.53;29.95;20295.00;20295.00;996.20;996.20;68;6201.00;0.00;20403.00;17749.00
1781427595;19.84;4.47;0.59;30.42;45564.00;45564.00;2234.34;2234.34;65;15462.00;0.00;45546.00;40674.00
1781427596;39.11;6.12;0.16;30.68;38134.00;38134.00;1867.90;1867.90;34;14931.00;1.00;38068.00;35324.00
1781427597;17.25;4.71;0.21;30.85;30679.00;30679.00;1500.92;1500.92;43;13116.00;0.00;30721.00;29226.00
1781427598;19.92;6.85;0.53;30.87;32626.00;32626.00;1595.01;1595.01;34;14803.00;0.00;32590.00;31594.00
1781427599;13.99;3.83;0.21;30.90;25189.00;25189.00;1230.85;1230.85;31;11873.00;0.00;25162.00;24689.00
