scenario,approach,requests_ok,requests_error,requests_per_second_p50,requests_per_second_p90,requests_per_second_max,latency_millis_min,latency_millis_p50,latency_millis_p90,latency_millis_p99,latency_millis_max,cpu_use_percent_avg,cpu_use_percent_max,ram_use_percent_avg,ram_use_percent_max,heap_use_percent_avg,heap_use_percent_max,garbage_collection_count,garbage_collection_time_millis,platform_threads_avg,platform_threads_max,sockets_avg,sockets_max,network_kib_per_req_avg,network_kib_per_req_max,network_packets_per_req_avg,network_packets_per_req_max
10k-vus-sharp-spikes-get-post-movies-call-depth-0,loom-tomcat,47778,0,4557,5284,10000,100,101,139,196,222,26.9,37.0,26.7,26.8,71.1,80.0,368,3315,56,57,670,1033,7.79,23.6,19.9,60.3
10k-vus-sharp-spikes-get-post-movies-call-depth-0,loom-netty,48264,0,4498,5260,10000,100,101,115,133,167,26.2,35.8,25.4,25.7,32.2,50.1,195,1192,52,53,10033,10034,7.29,23.5,8.76,28.3
10k-vus-sharp-spikes-get-post-movies-call-depth-0,webflux-netty,47893,0,4452,5193,10000,100,101,131,173,224,27.3,36.1,25.6,25.9,32.2,56.5,251,1417,72,73,10030,10032,6.99,17.0,14.9,36.2
10k-vus-sharp-spikes-get-post-movies-call-depth-1,loom-tomcat,46621,0,4370,5094,8490,100,103,286,488,1345,36.8,44.4,26.7,26.9,73.3,80.5,852,12209,56,57,680,1950,8.76,17.6,36.4,76.4
10k-vus-sharp-spikes-get-post-movies-call-depth-1,loom-netty,47820,0,4413,5130,10000,100,101,158,201,292,31.2,40.5,26.6,27.0,55.6,82.9,313,4076,52,53,10029,10030,8.78,32.0,17.8,65.3
10k-vus-sharp-spikes-get-post-movies-call-depth-1,webflux-netty,47383,0,4517,5320,10000,100,102,158,258,398,32.9,44.3,26.6,26.7,58.3,83.3,273,3762,72,73,10030,10031,9.04,32.2,25.5,90.8
20k-vus-sharp-spikes-get-post-movies-call-depth-0,loom-tomcat,92759,0,8897,9575,19745,100,101,263,476,501,40.2,58.3,30.8,31.5,68.7,94.8,897,10645,57,58,2414,3524,8.16,8.56,20.8,24.8
20k-vus-sharp-spikes-get-post-movies-call-depth-0,loom-netty,94752,0,8989,10515,20000,100,101,131,240,295,35.8,57.2,30.0,30.2,48.3,69.3,250,3388,52,53,20029,20030,6.56,12.7,7.90,15.5
20k-vus-sharp-spikes-get-post-movies-call-depth-0,webflux-netty,92775,0,8948,9577,20000,100,101,245,455,519,36.9,57.2,30.1,30.6,53.5,83.2,294,2764,72,73,20029,20031,7.83,20.3,16.8,43.2
20k-vus-sharp-spikes-get-post-movies-call-depth-1,loom-tomcat,1191,47673,122,11974,19262,538,5161,5484,5694,5743,49.3,92.3,27.7,29.5,36.1,83.9,54,242,32,56,9825,20031,17.5,74.3,146,638
20k-vus-sharp-spikes-get-post-movies-call-depth-1,loom-netty,91503,0,8842,10266,20000,100,102,278,396,597,42.8,60.3,29.9,30.3,63.6,89.1,506,8466,52,53,20029,20030,8.13,10.4,16.6,21.5
20k-vus-sharp-spikes-get-post-movies-call-depth-1,webflux-netty,91258,0,8447,10710,19990,100,107,334,506,664,45.3,64.2,30.4,31.1,63.6,82.7,582,9367,72,73,20030,20031,9.96,28.9,28.1,80.1
30k-vus-sharp-spikes-get-post-movies-call-depth-0,loom-tomcat,136585,0,12297,15452,28479,100,107,356,717,741,51.4,75.5,34.3,35.0,69.4,84.1,1449,22920,56,57,910,7701,8.50,11.7,21.8,29.7
30k-vus-sharp-spikes-get-post-movies-call-depth-0,loom-netty,138884,0,13320,15480,30000,100,100,217,310,435,42.8,62.9,33.7,34.5,46.4,81.2,345,3863,52,53,30030,30031,8.39,23.2,10.6,27.7
30k-vus-sharp-spikes-get-post-movies-call-depth-0,webflux-netty,136876,0,13164,15205,28354,100,101,240,345,483,45.4,85.6,34.3,34.9,56.2,78.5,358,4366,72,73,29865,30030,7.73,9.05,17.4,22.9
30k-vus-sharp-spikes-get-post-movies-call-depth-1,loom-tomcat,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30k-vus-sharp-spikes-get-post-movies-call-depth-1,loom-netty,125179,0,12744,14412,23323,100,102,549,841,1958,60.3,96.6,34.3,35.1,60.0,85.1,767,21633,52,53,29266,30032,9.49,20.5,23.2,80.7
30k-vus-sharp-spikes-get-post-movies-call-depth-1,webflux-netty,127370,0,12834,14677,18096,100,118,700,919,1327,61.3,93.6,34.8,35.3,56.6,94.9,829,16934,72,73,29783,30031,9.58,21.7,28.3,61.3
