scenario,approach,requests_ok,requests_error,requests_per_second_p50,requests_per_second_p90,requests_per_second_max,latency_millis_min,latency_millis_p50,latency_millis_p90,latency_millis_p99,latency_millis_max,cpu_use_percent_avg,cpu_use_percent_max,ram_use_percent_avg,ram_use_percent_max,heap_use_percent_avg,heap_use_percent_max,garbage_collection_count,garbage_collection_time_millis,platform_threads_avg,platform_threads_max,sockets_avg,sockets_max,network_kib_per_req_avg,network_kib_per_req_max,network_packets_per_req_avg,network_packets_per_req_max
smoketest-get-time,loom-tomcat,1300,0,200,200,201,0.12,0.23,0.35,0.98,6.09,11.6,13.1,26.5,26.5,4.45,6.47,189,315,54,54,93,127,0.81,1.05,8.03,10.1
smoketest-get-time,loom-netty,1300,0,200,200,201,0.18,0.38,0.57,1.09,2.60,17.4,23.1,28.3,28.3,4.51,6.85,180,279,50,50,93,127,0.58,0.74,5.02,6.17
smoketest-get-time,webflux-netty,1300,0,200,201,201,0.18,0.35,0.52,0.78,5.78,8.10,11.4,28.3,28.4,3.60,4.74,180,297,56,56,92,126,0.58,0.74,5.02,6.11
smoketest-get-movies-h2,loom-tomcat,69,0,10,11.2,14,103,104,106,351,419,13.0,17.0,29.4,29.5,6.54,15.0,127,194,40,43,39,45,4.68,6.49,22.1,33.4
smoketest-get-movies-h2,loom-netty,69,0,10,10.6,12,103,104,109,233,302,9.88,12.8,29.6,29.6,5.49,13.8,134,220,33,39,41,45,4.13,5.35,14.2,22.8
smoketest-get-movies-h2,webflux-netty,69,0,10,10.6,12,103,109,114,211,279,9.07,12.7,29.8,29.9,6.49,11.3,125,186,50,58,48,52,4.49,5.82,20.5,30.8
smoketest-get-movies-postgres,loom-tomcat,69,0,10,10.9,13,103,104,105,318,387,13.9,16.5,30.0,30.1,8.24,15.7,124,176,43,47,379,495,14.3,16.2,106,121
smoketest-get-movies-postgres,loom-netty,69,0,10,10.6,12,103,104,108,224,292,12.6,15.9,30.2,30.3,6.82,11.3,125,224,38,42,387,501,16.4,18.4,99.9,110
smoketest-get-movies-postgres,webflux-netty,69,0,10,10.6,12,103,104,118,232,301,15.5,20.6,29.9,30.0,6.68,11.2,139,218,51,62,391,509,19.7,22.7,108,121
smoketest-get-movies-postgres-no-cache,loom-tomcat,69,0,10,11.6,13,110,125,133,360,428,8.14,11.3,29.8,29.9,5.55,11.2,171,336,41,47,311,391,41.2,56.3,240,322
smoketest-get-movies-postgres-no-cache,loom-netty,69,0,10,10.6,12,110,128,144,226,295,8.59,10.7,30.1,30.2,5.95,11.4,134,282,39,42,276,355,49.1,61.1,273,337
smoketest-get-movies-postgres-no-cache,webflux-netty,69,0,10,10.9,13,107,127,151,327,395,7.80,9.87,30.4,30.6,5.37,10.3,160,393,55,61,292,377,57.4,71.1,319,392
