scenario,approach,requests_ok,requests_error,requests_per_second_p50,requests_per_second_p90,requests_per_second_max,latency_millis_min,latency_millis_p50,latency_millis_p90,latency_millis_p99,latency_millis_max,cpu_use_percent_avg,cpu_use_percent_max,ram_use_percent_avg,ram_use_percent_max,heap_use_percent_avg,heap_use_percent_max,garbage_collection_count,garbage_collection_time_millis,platform_threads_avg,platform_threads_max,sockets_avg,sockets_max,network_kib_per_req_avg,network_kib_per_req_max,network_packets_per_req_avg,network_packets_per_req_max
10k-vus-sharp-spikes-get-post-movies-call-depth-0,loom-tomcat,638181,15246,2451,3941,4356,100,102,131,190,60001,50.8,99.6,19.2,20.1,49.7,82.9,11811,215608,27,28,9639,10008,40.5,6363,70.7,11120
10k-vus-sharp-spikes-get-post-movies-call-depth-0,loom-netty,765847,0,2976,4788,5116,100,102,108,187,367,53.5,99.5,20.2,20.8,31.9,64.4,11285,192473,23,24,9744,10008,11.9,203,14.5,249
10k-vus-sharp-spikes-get-post-movies-call-depth-0,webflux-netty,766317,0,2998,4792,5168,100,102,108,193,371,51.1,99.2,20.5,21.2,31.5,64.2,10584,148309,30,31,9763,10008,15.1,352,33.4,765
10k-vus-sharp-spikes-get-post-movies-call-depth-1,loom-tomcat,550095,26999,2099,3356,4313,101,103,181,20066,60003,57.7,99.0,23.0,23.6,58.3,89.8,27282,582114,27,28,9558,10055,21.6,1683,67.0,4984
10k-vus-sharp-spikes-get-post-movies-call-depth-1,loom-netty,762019,0,2948,4806,5623,50.7,104,139,301,804,58.6,99.2,21.3,22.0,35.4,66.1,19639,293396,23,24,9744,10026,24.2,809,49.8,1704
10k-vus-sharp-spikes-get-post-movies-call-depth-1,webflux-netty,748185,0,2978,4830,5367,101,121,263,515,2001,60.6,99.6,21.7,22.4,36.3,66.7,16565,264851,30,31,9756,10008,33.2,1005,96.9,2962
30k-vus-sharp-spikes-get-post-movies-call-depth-0,loom-tomcat,714555,194569,3116,3996,6089,100,102,129,216,60001,54.6,99.6,35.0,37.2,58.3,91.0,13543,232620,27,28,26965,30008,303,24560,679,56232
30k-vus-sharp-spikes-get-post-movies-call-depth-0,loom-netty,1987138,0,6203,13561,25085,100,235,760,1568,2853,67.2,99.9,35.3,36.5,44.1,72.8,24293,576879,23,24,29122,30008,26.1,766,32.0,931
30k-vus-sharp-spikes-get-post-movies-call-depth-0,webflux-netty,1447045,0,5342,8950,16966,100,1430,2633,3344,11933,70.1,100,37.4,39,60.6,97.4,55708,2552040,30,31,29077,30008,20.8,573,44.9,1284
30k-vus-sharp-spikes-get-post-movies-call-depth-1,loom-tomcat,438495,217298,1744,3002,4623,101,104,282,21148,60009,59.0,100,35.5,37.1,55.4,96.9,31052,764261,28,31,26878,30058,46.4,4224,180,17591
30k-vus-sharp-spikes-get-post-movies-call-depth-1,loom-netty,830652,83,2610,5656,10611,101,4524,6568,28176,47541,76.7,100,36.3,37.8,69.0,95.8,85162,5965938,23,24,29034,30008,55.1,10979,140,27572
30k-vus-sharp-spikes-get-post-movies-call-depth-1,webflux-netty,734776,6377,2482,4804,9434,101,5569,9111,19632,24654,80.6,100,36.6,38.4,72.2,96.2,81807,5249831,30,31,29043,30008,28.9,4780,91.1,14880
