scenario,k6Config,serverProfiles,delayCallDepth,delayInMillis,connections,requestsPerSecond,warmupDurationInSeconds,testDurationInSeconds
100-vus-and-rps-get-movies,get-movies.js,,0,100,100,100,10,120
100-vus-and-rps-get-movies-postgres,get-movies.js,postgres,0,100,100,100,10,120
100-vus-and-rps-get-movies-postgres-no-cache,get-movies.js,postgres|no-cache,0,100,100,100,10,120
300-vus-and-rps-get-movies,get-movies.js,,0,100,300,300,10,120
300-vus-and-rps-get-movies-postgres,get-movies.js,postgres,0,100,300,300,10,120
300-vus-and-rps-get-movies-postgres-no-cache,get-movies.js,postgres|no-cache,0,100,300,300,10,120
1000-vus-and-rps-get-movies,get-movies.js,,0,100,1000,1000,10,120
1000-vus-and-rps-get-movies-postgres,get-movies.js,postgres,0,100,1000,1000,10,120
1000-vus-and-rps-get-movies-postgres-no-cache,get-movies.js,postgres|no-cache,0,100,1000,1000,10,120
3000-vus-and-rps-get-movies,get-movies.js,,0,100,3000,3000,10,120
3000-vus-and-rps-get-movies-postgres,get-movies.js,postgres,0,100,3000,3000,10,120
3000-vus-and-rps-get-movies-postgres-no-cache,get-movies.js,postgres|no-cache,0,100,3000,3000,10,120
